STATE,STATE FIPS,COUNTY,COUNTY FIPS,FACILITY,EIS ID,ADDRESS,CITY,ZIP CODE,POLLUTANT,POLLUTANT TYPE,EMISSIONS,UNIT OF MEASURE,FACILITY TYPE,NAICS CODE,NAICS DESCRIPTION
CA,06,Alameda,06001,Metropolitan Oakland In,10522811,Unknown,Oakland,00000,Nitrogen Oxides,CAP,645.4990354,TON,Airport,48811,AIRPORT OPERATIONS
CA,06,Alameda,06001,UNITED STATES PIPE & FOUNDRY COMPANY  LLC,4956011,1295 WHIPPLE ROAD,UNION CITY,94587,Nitrogen Oxides,CAP,68.34811036,TON,"Foundries, Iron and Steel",331511,IRON FOUNDRIES.
CA,06,Alameda,06001,CITY OF BERKELEY/ENGR DIV/PUBLIC WORKS,7845611,CESAR CHAVEZ PRK,BERKELEY,94704,Nitrogen Oxides,CAP,54.1100911,TON,,921190,OTHER GENERAL GOVERNMENT SUPPORT.
CA,06,Alameda,06001,"PE BERKELEY, INC",10707511,"UNIV OF CALIF, BERKELEY CAMPUS",BERKELEY,94720,Nitrogen Oxides,CAP,45.21450078,TON,Electricity Generation via Combustion,221112,FOSSIL FUEL ELECTRIC POWER GENERATION.
CA,06,Alameda,06001,DUBLIN SAN RAMON SERVICES DISTRICT - WASTEWATER TP,129811,7399 JOHNSON DRIVE,PLEASANTON,94588,Nitrogen Oxides,CAP,44.28705922,TON,Wastewater Treatment Facility,221320,SEWAGE TREATMENT FACILITIES.
CA,06,Alameda,06001,WASTE MANAGEMENT OF ALAMEDA COUNTY,140311,10840 ALTAMONT PASS RD,LIVERMORE,94551,Nitrogen Oxides,CAP,44.18641202,TON,Landfill,562212,SOLID WASTE LANDFILL.
CA,06,Alameda,06001,WARM SPRINGS,17874211,Unknown,Unknown,00000,Nitrogen Oxides,CAP,42.97875,TON,Rail Yard,48211,RAIL TRANSPORTATION
CA,06,Alameda,06001,A B & I FOUNDRY,382111,7825 SAN LEANDRO ST,OAKLAND,94621,Nitrogen Oxides,CAP,37.7685567,TON,"Foundries, Iron and Steel",331511,IRON FOUNDRIES.
CA,06,Alameda,06001,EAST BAY MUNICIPAL UTILITY DISTRICT,379511,2020 WAKE AVENUE,OAKLAND,94607,Nitrogen Oxides,CAP,36.81608316,TON,Wastewater Treatment Facility,221320,SEWAGE TREATMENT FACILITIES.
CA,06,Alameda,06001,OAKLAND,14457211,Unknown,Unknown,00000,Nitrogen Oxides,CAP,28.6525,TON,Rail Yard,488210,SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION.
CA,06,Alameda,06001,MORGAN ADVANCED CERAMICS,128911,2425 WHIPPLE ROAD,HAYWARD,94544,Nitrogen Oxides,CAP,19.62337239,TON,,327110,
CA,06,Alameda,06001,RUSSELL CITY ENERGY CO  LLC,17414311,3862 DEPOT ROAD,HAYWARD,94545,Nitrogen Oxides,CAP,18.03982227,TON,Electricity Generation via Combustion,221112,FOSSIL FUEL ELECTRIC POWER GENERATION.
CA,06,Alameda,06001,LAWRENCE LIVERMORE NATIONAL LABORATORY,205111,7000 EAST AVENUE,LIVERMORE,94550,Nitrogen Oxides,CAP,17.71541541,TON,,541715,
CA,06,Alameda,06001,KAISER HOSPITAL,17244511,2500 MERCED STREET,SAN LEANDRO,94577,Nitrogen Oxides,CAP,17.22289432,TON,,334610,
CA,06,Alameda,06001,"DESILVA GATES CONSTRUCTION, LP",10473211,6527 CALAVERAS RD,SUNOL,94586,Nitrogen Oxides,CAP,16.720906,TON,,212321,CONSTRUCTION SAND AND GRAVEL MINING.
CA,06,Alameda,06001,KRAFT HEINZ FOODS COMPANY,10466511,100 HALCYON DRIVE,SAN LEANDRO,94578,Nitrogen Oxides,CAP,16.2732382,TON,Food Products Processing Plant,311920,COFFEE AND TEA MANUFACTURING.
CA,06,Alameda,06001,PABCO GYPSUM,137311,37851 CHERRY STREET,NEWARK,94560,Nitrogen Oxides,CAP,16.2449398,TON,,327420,GYPSUM PRODUCT MANUFACTURING.
CA,06,Alameda,06001,TESLA  INC,14768911,45500 FREMONT BLVD,FREMONT,94538,Nitrogen Oxides,CAP,16.21254422,TON,Automobile/Truck or Parts Plant,336110,
CA,06,Alameda,06001,AMERESCO VASCO ROAD LLC,18774511,4001 N VASCO ROAD,LIVERMORE,94551,Nitrogen Oxides,CAP,15.60925,TON,,562212,SOLID WASTE LANDFILL.
CA,06,Alameda,06001,EAST OAKLAND,17863711,Unknown,Unknown,00000,Nitrogen Oxides,CAP,14.32625,TON,Rail Yard,48211,RAIL TRANSPORTATION
CA,06,Alameda,06001,UNION SANITARY DISTRICT,806011,5072 BENSON ROAD,UNION CITY,94587,Nitrogen Oxides,CAP,14.14660394,TON,Wastewater Treatment Facility,221320,SEWAGE TREATMENT FACILITIES.
CA,06,Alameda,06001,BAYER US LLC,10523411,800 DWIGHT WAY,BERKELEY,94710,Nitrogen Oxides,CAP,14.04904475,TON,Pharmaceutical Manufacturing,325412,PHARMACEUTICAL PREPARATION MANUFACTURING.
CA,06,Alameda,06001,ROLLS-ROYCE CORPORATION,773811,6701 OLD EARHART RD,OAKLAND,94621,Nitrogen Oxides,CAP,11.8060068,TON,,541380,TESTING LABORATORIES.
CA,06,Alameda,06001,Hayward Executive,10523011,Unknown,Hayward,00000,Nitrogen Oxides,CAP,11.04966694,TON,Airport,48811,AIRPORT OPERATIONS
CA,06,Alameda,06001,WASTE MANAGEMENT OF ALAMEDA COUNTY,141311,7010 AUTO MALL PKWY,FREMONT,94538,Nitrogen Oxides,CAP,10.66175221,TON,Landfill,562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL.
CA,06,Alameda,06001,"GALLAGHER & BURK, INC",10510811,344 HIGH STREET,OAKLAND,94601,Nitrogen Oxides,CAP,9.398723,TON,Hot Mix Asphalt Plant,324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING.
CA,06,Alameda,06001,PEET'S COFFEE AND TEA INC,14318611,2001 HARBOR BAY PKWY,ALAMEDA,94502,Nitrogen Oxides,CAP,9.2804229,TON,,311920,COFFEE AND TEA MANUFACTURING.
CA,06,Alameda,06001,WESTERN DIGITAL CORPORATION,14235211,44100 OSGOOD ROAD,FREMONT,94539,Nitrogen Oxides,CAP,9.23842302,TON,,334413,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING.
CA,06,Alameda,06001,ORO LOMA SANITARY DISTRICT,1071011,2600 GRANT AVENUE,SAN LORENZO,94580,Nitrogen Oxides,CAP,9.023172345,TON,Wastewater Treatment Facility,221320,SEWAGE TREATMENT FACILITIES.
CA,06,Alameda,06001,DYNEGY OAKLAND LLC,772011,50 MARTIN LUTHR KNG  JR WAY,OAKLAND,94607,Nitrogen Oxides,CAP,8.33941027,TON,Electricity Generation via Combustion,221112,FOSSIL FUEL ELECTRIC POWER GENERATION.
CA,06,Alameda,06001,MISSION VALLEY ROCK CO,379811,7999 ATHENOUR WAY,SUNOL,94586,Nitrogen Oxides,CAP,7.95374712,TON,,423320,"BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS"
CA,06,Alameda,06001,MISSION FOODS,14291611,23423 CABOT BLVD,HAYWARD,94545,Nitrogen Oxides,CAP,6.564324613,TON,,111998,ALL OTHER MISCELLANEOUS CROP FARMING.
