Data Terms of Use,https://www.edf.org/airqualitymaps/download-oakland-air-pollution-data ,,,
Longitude,Latitude,NO Value,NO2 Value,BC Value
-122.3225938,37.80678062,23.39007073,17.53976153,0.818032061
-122.32231,37.80614989,19.70000009,19.9567502,0.551475043
-122.3223008,37.80642014,23.61111146,23.96776835,0.59371167
-122.3222988,37.8058798,15.71428536,18.43518446,0.489897892
-122.3222671,37.80668898,27.10869487,25.79703741,0.739341404
-122.3222617,37.80671982,27.17647044,25.94654499,0.701457365
-122.3222506,37.8056125,13.34107138,16.02253853,0.377171024
-122.3222086,37.80547545,12.76923088,15.40100426,0.562942886
-122.3221959,37.80690666,28.26086914,25.13748268,0.538130011
-122.3221459,37.80535556,15.84905699,15.69453865,0.753676493
-122.3220693,37.80715744,28.05263159,25.95218011,0.707618334
-122.3220056,37.80510933,16.44679496,16.02417109,0.743399441
-122.3219043,37.80739334,28.97222273,26.99368909,0.756182481
-122.3218307,37.80487754,18.62179495,18.61904777,0.686763975
-122.3216999,37.80760926,32.4358975,27.54585614,0.86025572
-122.3216279,37.80466038,19.5085469,18.83975506,0.712645706
-122.3214562,37.80779813,35.87499981,28.22525783,1.09356811
-122.3213894,37.8044677,20.60457559,19.40530266,0.570328176
-122.3211763,37.8079512,35.41666631,28.94222837,1.136298242
-122.3211269,37.80429552,21.33515244,19.43299042,0.438949261
-122.3208707,37.80807,34.53333378,28.23906804,1.232716145
-122.3208362,37.80415537,20.02173954,19.3556477,0.426395761
-122.3205502,37.80816167,36.06666572,28.59032827,0.949938162
-122.3205312,37.80403468,16.80298903,18.55113322,0.621131321
-122.3202283,37.80825057,32.25563812,28.10747986,1.102851572
-122.3202169,37.80393044,20.07520309,18.54698129,0.64718904
-122.3199063,37.80833904,35.81395364,27.89973975,1.015156388
-122.3199016,37.80382775,18.50000043,17.46580678,0.618309373
-122.3195864,37.80372506,17.51351321,18.21096759,0.636180025
-122.3195842,37.80842726,35.06681759,28.5036509,0.898645258
-122.3192711,37.80362236,19.94999973,23.33805625,0.583947387
-122.319262,37.80851549,39.62499993,28.23824687,0.943402986
-122.3189559,37.80351963,17.03135439,24.63375022,0.655340906
-122.3189399,37.80860372,39.0000008,28.56928185,1.027451644
-122.3186407,37.80341686,15.92624533,26.34789957,0.735776375
-122.3186177,37.80869194,39.47561003,28.79169799,0.92100814
-122.3183255,37.8033141,19.35869605,25.1029033,0.894346927
-122.3182956,37.80878016,41.12500022,29.22293312,0.87640653
-122.3180103,37.80321133,20.8649422,25.03766696,0.915795956
-122.3179722,37.80886509,38.25000011,29.23908456,0.819666707
-122.3176951,37.80310856,18.58064508,24.2280207,1.073971987
-122.3176402,37.80892452,36.4459449,29.42316019,0.77490143
-122.3173799,37.8030058,16.78918534,23.47812556,0.70121252
-122.3173019,37.80895655,38.88000011,29.59332986,0.930495071
-122.3170647,37.80290303,15.17323803,22.00256896,0.6566773
-122.3169614,37.80896615,35.75000074,30.49312159,1.034153227
-122.3167495,37.80280026,13.76068367,22.37089891,0.687606886
-122.3166213,37.80894921,37.69230807,29.55267804,1.160115481
-122.3164343,37.80269749,14.77136739,19.65836305,0.783789889
-122.3162818,37.80892582,41.0833337,31.95249987,1.145911756
-122.3161192,37.80259472,15.80645168,20.28617256,0.7425088
-122.3159432,37.80889545,38.39285778,31.97066681,1.302386105
-122.315804,37.80249194,19.45185192,20.23619835,1.033795444
-122.3156049,37.808863,36.66666647,32.26733408,1.473498529
-122.3154888,37.80238917,20.23666285,19.75852276,0.706055669
-122.3152665,37.80883055,35.53846135,31.79400063,1.445226347
-122.3151998,37.80888174,32.2666682,34.33888283,0.907199587
-122.3151736,37.8022864,17.99999923,19.79179129,0.60068385
-122.3151649,37.80883011,34.55686208,30.43170762,1.849504861
-122.3149548,37.80906969,14.88461514,22.94963458,0.574352308
-122.3149314,37.80878134,35.94444309,30.47975837,1.523516326
-122.3148584,37.80218362,16.51959713,19.97239938,0.859911949
-122.3148241,37.80882866,32.60255311,31.51253441,1.688907355
-122.3147204,37.80926578,19.50828108,19.37533315,0.815987666
-122.3145943,37.80874277,32.76923033,30.96800147,1.6985358
-122.3145432,37.80208084,16.39669554,20.02212289,0.754391645
-122.3145021,37.80947338,17.41999965,20.89020189,0.223990903
-122.3144845,37.80880911,30.40000144,29.25799942,1.273287197
-122.3142837,37.80968097,15.8472221,19.97949982,0.829102227
-122.3142555,37.80871397,29.72571437,29.73299873,1.521431879
-122.314228,37.80197807,15.08000005,19.43494113,0.767731119
-122.3141449,37.80878723,32.2666682,27.65377755,1.146437049
-122.3140654,37.80988856,12.45588274,20.26585317,0.856916711
-122.3139155,37.80869542,27.0227265,27.50528963,1.327361857
-122.3139128,37.80187529,14.57766951,19.92837785,1.035302467
-122.313847,37.81009615,15.90196081,18.1983331,0.699451745
-122.3138046,37.80877259,33.03175325,29.56737285,1.26980695
-122.3136286,37.81030375,21.23076891,19.88291984,0.56863875
-122.3135976,37.80177251,15.42741925,20.06364701,1.077878354
-122.3135764,37.80866826,31.20439539,29.31218574,1.440731653
-122.3134647,37.80875306,29.57171819,28.68379363,1.137620451
-122.3134088,37.81051036,21.32954525,19.62436224,0.585289966
-122.31334,37.810532,27.99999954,20.84636221,0.286483981
-122.3132824,37.80166973,15.594118,21.22188522,1.048156471
-122.3132384,37.80863402,28.02197852,28.03522794,1.405384731
-122.3131871,37.81071568,24.43852962,20.3067671,0.67068469
-122.3131252,37.80872962,26.66666793,27.67499924,1.124944238
-122.3129673,37.80156695,15.59999965,21.32798852,0.898554407
-122.3129653,37.810921,22.40000069,19.91829977,0.433339708
-122.3129003,37.80859979,27.31707256,27.46622315,1.294363964
-122.3127863,37.8087009,30.76784419,27.9342921,1.127050569
-122.3127252,37.81111253,11.56666653,19.3822086,0.76610759
-122.3126996,37.81067624,31.62499934,22.4837206,1.000203451
-122.3126926,37.81079105,28.04347763,22.75226667,0.760676697
-122.3126708,37.81052261,27.99595954,21.85219294,0.936624953
-122.3126521,37.80146417,16.67784645,23.27864321,1.113643146
-122.3126259,37.81105459,35.45454686,23.63294601,1.099808842
-122.3125811,37.81026176,31.61485884,22.02863661,0.925060029
-122.3125623,37.80856556,33.1136372,28.17573401,1.326761219
-122.3124914,37.81000091,35.67741931,22.99963656,1.205715549
-122.3124759,37.81129692,23.425288,22.30763988,1.179327342
-122.312472,37.81130054,29.21885491,21.98270927,0.897638327
-122.3124475,37.80867217,43.69444535,30.66417508,1.304123717
-122.3124056,37.80652826,10.625,22.02464168,0.738402229
-122.3124044,37.80973951,38.83870931,25.49134545,1.237248894
-122.3123983,37.80679795,14.51768879,21.89933314,0.687832357
-122.3123369,37.80136139,17.73333388,23.41056081,1.002994817
-122.3123301,37.80626554,15.74283553,22.03762902,0.949686009
-122.3123229,37.80706118,12.67608697,21.81363255,0.998602007
-122.3123227,37.809477,37.12121187,26.05250076,1.202516413
-122.3122494,37.81150526,24.81818148,21.74215976,1.218709637
-122.312241,37.80921449,43.96627016,26.0836878,1.241123973
-122.3122332,37.80732203,13.10000007,22.833764,0.780164988
-122.3122233,37.80854189,41.19597158,32.45901857,1.239494187
-122.3122196,37.80914562,50.28571667,25.69939211,1.263961118
-122.3121803,37.80602409,15.42391252,20.7199078,0.382131716
-122.3121547,37.80758503,17.13461536,24.62055421,0.801973245
-122.3121446,37.80905296,46.96774122,25.87174841,1.55549745
-122.3121412,37.80888249,38.49090903,25.73027299,1.353785323
-122.3121091,37.80785276,17.65153505,25.55501598,0.88399425
-122.312107,37.80866316,51.16279146,32.25493418,1.281418442
-122.312096,37.80839294,22.95532465,27.71306024,0.768167608
-122.3120909,37.80812265,20.21511417,27.45722205,0.765440951
-122.3120267,37.81170997,28.93818272,21.64424195,1.059139962
-122.3120217,37.80125861,17.96590908,23.48670838,0.831636738
-122.311973,37.81183241,37.99999878,22.16539018,0.988800788
-122.3119644,37.80581602,24.21687854,21.52950001,0.597650541
-122.3119151,37.80885651,122.8749994,38.25386176,1.600546176
-122.3119091,37.80868917,52.99999961,41.18953617,1.380871869
-122.311885,37.80856645,55.99999875,32.65649986,1.110282627
-122.3118064,37.81191628,29.61702038,21.87863759,0.917109134
-122.3117065,37.80115582,19.43689291,23.44151059,0.837849445
-122.311694,37.80565263,25.67692298,19.92291756,0.329261205
-122.3115905,37.80879446,47.83110132,40.62559797,1.468708601
-122.3115881,37.81212387,29.14369545,22.89766923,1.082778815
-122.3115804,37.80875924,58.89999904,33.65090768,1.585645125
-122.311559,37.80864407,52.54545489,35.48050117,1.122380148
-122.3114017,37.80551372,22.56009638,19.77655568,0.671397343
-122.3113913,37.80105304,16.99999999,22.26798393,0.899864122
-122.3113697,37.81233146,27.70588227,23.18745289,1.082288291
-122.3112539,37.80883683,51.57954594,36.57536765,1.493719745
-122.3112329,37.80872214,45.57143019,36.6590004,1.665727496
-122.3111513,37.81253906,29.44117713,23.52000046,1.141086925
-122.3111093,37.8053748,17.26798965,19.75833749,0.577184294
